Name,Description,Strengths,Weaknesses,Height,Weight,40 time,RAS
Nic Scourton,"Scourton is an explosive edge defender with an impressive blend of size, power, and athleticism. He possesses excellent first-step quickness to stress offensive tackles, complemented by the power to convert speed to power effectively. Scourton displays advanced hand usage for his age, with the ability to string together moves and counter when his initial rush is stalled. In run defense, he sets a strong edge and maintains gap integrity with good discipline. His motor runs consistently hot, pursuing plays with relentless effort and finishing tackles with authority.","Explosive first step, power at point of attack, advanced hand technique, motor, run defense discipline, developing pass rush plan, closing burst to the quarterback, physical traits","Can improve consistency with pad level, needs to develop counter moves, occasionally gets washed in run game against double teams",6-3,257,4.7,
Josh Conerly Jr,"Conerly is an athletic offensive tackle with excellent movement skills and developing technical refinement. He displays smooth footwork in pass protection, with the lateral agility to mirror speed rushers and recover when initially beaten. Conerly shows a strong punch and improving hand placement, with the length to keep defenders at bay. In the run game, he demonstrates good initial quickness and the ability to work to the second level, connecting on linebackers and defensive backs in space.","Athletic movement skills, lateral agility, length, recovery ability, run blocking mobility, second level targeting, competitive toughness, developmental upside","Still developing play strength and anchor, inconsistent hand placement in pass protection, occasional lapses in technique when facing counter moves",6-5,311,5.05,8.86
Omarion Hampton,"Hampton is a well-rounded running back with an impressive blend of power, vision, and receiving ability. He runs with good pad level and leg drive, consistently falling forward for extra yardage. Hampton demonstrates excellent vision and patience, setting up blocks and finding cutback lanes effectively. His contact balance is a significant asset, bouncing off tackles and maintaining momentum through contact. As a receiver, Hampton shows natural hands and route-running ability, creating mismatches against linebackers in coverage.","Vision and patience, contact balance, power through tackles, receiving ability, pass protection willingness, three-down potential, short-yardage effectiveness, competitive toughness","Still developing top-end speed for breakaway runs, occasionally indecisive hitting the hole, can improve route tree diversity, needs refinement in pass protection technique",6-0,221,4.46,9.7
Grey Zabel,"Zabel is a physical, technically sound offensive lineman with positional versatility and developing traits. He displays good initial quickness in pass protection, with the lateral mobility to mirror interior rushers. Zabel shows a strong anchor against bull rushes and good hand placement to control defenders. In the run game, he generates movement at the point of attack with leg drive and competitive toughness. Zabel's football IQ is evident in how he handles stunts and blitzes, working well in combination with his fellow linemen.","Technical soundness, positional versatility, anchor strength, hand placement, awareness of stunts/blitzes, run blocking effectiveness, competitive toughness, football intelligence","Athletic limitations against elite quickness, still adding functional strength, occasionally plays too high affecting leverage",6-6,312,5.3,
Shavon Revel Jr,"Revel is a dynamic cornerback with excellent size, length, and athleticism. He possesses the speed to carry receivers vertically and the hip fluidity to change direction smoothly. In press coverage, Revel uses his length effectively to disrupt receivers at the line of scrimmage. His ball skills are developing, showing improved timing and tracking of passes in the air. Revel's tackling is technically sound, breaking down in space and delivering pop on contact. His competitiveness shows in contested catch situations, fighting through the catch point.","Size-length-speed combination, press coverage ability, athleticism, tackling technique, competitive toughness, positional versatility, developmental upside","Still developing route recognition, occasional false steps in transition, needs to improve zone coverage awareness, inconsistent ball production",6-2,194,4.4,
Donovan Ezeiruaku,"Ezeiruaku is an athletic edge defender with impressive burst, bend, and developing technical refinement. His first-step quickness stresses offensive tackles, and his flexibility allows him to turn tight corners around the edge. Ezeiruaku shows developing hand usage, with improving technique to disengage from blocks. In run defense, he sets a solid edge with the strength to hold his ground against tight ends and tackles. His motor runs consistently hot, pursuing plays with relentless effort and finishing tackles with authority.","First-step explosion, bend around the edge, developing hand technique, motor, pursuit effort, positional versatility, developmental upside, closing burst","Still adding functional strength, needs to expand pass rush arsenal, can improve consistency against the run, developing counter moves",6-2,248,4.62,8.12
Benjamin Morrison,"Morrison is a technically refined cornerback with excellent ball skills and route recognition. His change-of-direction ability and fluidity in his hips allow him to mirror receivers in man coverage with ease. In zone coverage, Morrison shows excellent pattern reading and anticipation to jump routes and create turnovers. He's a willing tackler who takes good angles in run support and limits yards after catch. His competitive nature and football intelligence make him scheme-versatile at the next level.","Route recognition, ball skills, technical refinement, fluidity, zone coverage instincts, tackling willingness, competitive toughness, football intelligence","Could improve functional strength for press coverage, occasionally loses leverage against bigger receivers, can improve shedding blocks in run support",6-0,193,4.39,
Jaxson Dart,"Dart is a confident, aggressive quarterback with an impressive blend of arm talent and mobility. He possesses a quick release and the arm strength to drive the ball into tight windows and push it vertically down the field. Dart shows good pocket awareness, sensing pressure and escaping to extend plays while keeping his eyes downfield. His competitiveness stands out, with the toughness to stand in against pressure and deliver throws under duress. As a runner, Dart has enough athleticism to be a threat on designed runs and scrambles.","Arm strength, quick release, aggressive mentality, competitive toughness, mobility, playmaking ability, vertical passing threat, leadership qualities","Occasionally aggressive to a fault forcing throws into coverage, inconsistent touch on short/intermediate passes, still developing full-field progressions, needs improved ball security when extending plays",6-2,223,4.85,
Tyleik Williams,"Williams is a disruptive interior defensive lineman with exceptional quickness and power. He possesses an explosive first step that allows him to penetrate gaps and disrupt plays in the backfield. Williams demonstrates good hand usage and leverage awareness, effectively shedding blocks to make plays. His motor runs consistently, pursuing plays with effort and finishing tackles with authority. In pass rush situations, Williams shows the ability to collapse the pocket with bull rushes and is developing more refined moves.","Explosive first step, penetration ability, power, hand technique, motor, disruptive potential, block shedding, interior pass rush","Inconsistent pad level affects leverage, can improve lateral pursuit range, still developing stamina for consistent three-down impact, occasional gap discipline lapses",6-3,334,4.68,
Donovan Jackson,"Jackson is a technically refined interior offensive lineman with excellent athletic traits and competitive toughness. He displays exceptional movement skills for his size, with the lateral agility to mirror quicker interior rushers and the recovery ability when initially beaten. Jackson's anchor strength is impressive, absorbing bull rushes without giving ground. In the run game, he demonstrates good initial quickness and the power to move defenders off the ball. Jackson's football IQ is evident in how he handles stunts and blitzes.","Technical refinement, lateral agility, anchor strength, hand placement, movement skills, awareness of stunts/blitzes, run blocking effectiveness, competitive toughness","Occasionally plays slightly high affecting leverage, can improve sustaining blocks at the second level, inconsistent on pulling assignments",6-4,315,5.2,8.99
Aireontae Ersery,"Ersery is an athletic offensive tackle with impressive movement skills and developmental upside. He displays good initial quickness in pass protection, with the lateral agility to mirror speed rushers. Ersery's length is an asset, allowing him to establish first contact and keep defenders at bay. In the run game, he demonstrates good mobility to reach defenders on the perimeter and work to the second level. Ersery's competitive toughness shows in how he finishes blocks with physicality.","Athletic movement skills, length, lateral agility, second level mobility, competitive toughness, development trajectory, run blocking mobility, recovery ability","Still developing technical consistency in pass protection, needs to improve hand placement, occasionally plays too high affecting leverage, adding functional strength",6-6,331,5.01,9.43
Jack Sawyer,"Sawyer is an athletic edge defender with an impressive combination of power, technique, and motor. He possesses good first-step quickness and the ability to convert speed to power effectively. Sawyer demonstrates advanced hand usage for his age, with the technical refinement to defeat blocks with various moves. In run defense, he sets a strong edge and maintains gap integrity with good discipline. His competitive toughness shows in his relentless pursuit and physical finish as a tackler.","Technical refinement, hand usage, motor, edge-setting ability, run defense discipline, developing pass rush arsenal, football intelligence, competitive toughness","Can improve bend around the edge, occasionally struggles to disengage quickly from longer tackles, still developing counter moves when initial rush is stalled",6-4,260,4.6,
Azareye'h Thomas,"Thomas is a versatile defensive back with excellent size, length, and ball skills. He possesses the speed to carry receivers vertically and the hip fluidity to change direction smoothly. Thomas shows natural instincts in coverage, anticipating routes and breaking on passes with good timing. His ball skills are exceptional, with the ability to high-point passes and the hands to secure interceptions. Thomas tackles with proper form, taking good angles and finishing with physicality despite his leaner frame.","Positional versatility, length, ball skills, coverage instincts, tackling form, athletic traits, competitive toughness, playmaking ability","Still adding functional strength for durability, occasional aggressiveness jumping routes leaves him vulnerable to double moves, developing play recognition consistency",6-2,197,4.5,8.17
TJ Sanders,"Sanders is a disruptive interior defensive lineman with impressive quickness and power. He possesses excellent first-step explosion that allows him to penetrate gaps and disrupt plays in the backfield. Sanders shows good hand usage and leverage awareness, effectively shedding blocks to make plays. His motor runs consistently hot, pursuing plays with relentless effort and finishing tackles with authority. In pass rush situations, Sanders demonstrates the ability to collapse the pocket with bull rushes and is developing more refined moves.","First-step quickness, penetration ability, motor, hand technique, block shedding, disruption potential, leverage awareness, pursuit effort","Inconsistent pad level, still developing pass rush moves beyond bull rush, can improve lateral pursuit range, occasional gap integrity lapses",6-4,297,4.95,9.38
Kaleb Johnson,"Johnson is a complete running back with an impressive blend of size, speed, and vision. He runs with good pad level and leg drive, consistently falling forward for extra yardage. Johnson demonstrates excellent vision and patience, setting up blocks and finding cutback lanes effectively. His burst through the hole is impressive, quickly accelerating to top speed. Johnson shows good contact balance, bouncing off tackles and maintaining momentum through contact. As a receiver, he displays developing hands and route-running ability.","Size-speed combination, vision, burst, contact balance, finishing runs, three-down potential, short-yardage effectiveness, competitive toughness","Still developing as a receiver, needs refinement in pass protection technique, occasionally runs too upright making himself a larger target",6-1,224,4.57,
TreVeyon Henderson,"Henderson is an explosive running back with home run hitting ability on every touch. He combines exceptional vision with elite acceleration, allowing him to identify holes quickly and burst through them before defenders can react. Henderson possesses excellent cutting ability at full speed, making defenders miss in the open field with subtle moves. His contact balance is impressive for his build, routinely breaking arm tackles and maintaining speed through contact. As a receiver, Henderson shows natural hands and the ability to create mismatches against linebackers.","Exceptional burst and acceleration, home run speed, vision, cutting ability at full speed, receiving skills, big-play threat, contact balance, competitive toughness","Durability concerns due to previous injuries, still developing as a pass protector, could improve power between the tackles, occasionally too eager to bounce runs outside",5-10,202,4.43,8.87
Landon Jackson,"Jackson is a long, athletic edge defender with impressive physical tools and developing technical refinement. He possesses exceptional length and first-step quickness, allowing him to stress offensive tackles and establish leverage in the run game. Jackson demonstrates developing hand usage, with improving technique to disengage from blocks. His motor runs consistently hot, pursuing plays from the backside and chasing screens with relentless effort. Against the run, Jackson sets a strong edge with the length and strength to control tight ends and tackles.","Length, first-step quickness, motor, pursuit effort, edge-setting ability, developing pass rush, physical tools, positional versatility","Still developing technical refinement in pass rush, needs to expand move arsenal beyond speed rush, can improve hand placement consistency, developing counter moves",6-6,264,4.68,9.78
